x;
AAA;0.00005
AA+;0.0002
AA;0.0004
AA-;0.0004
A+;0.0007
A;0.0007
A-;0.0011
BBB+;0.0017
BBB;0.00325
BBB-;0.0057
BB+;0.0081
BB;0.0135
BB-;0.0242
B+;0.035
B;0.0941
B-;0.0941
CCC+;0.30205
CCC;0.30205
CCC-;0.30205
CC;0.30205
C;0.30205
D;1
